family	genus	species	decimalLatitude	decimalLongitude
Bothidae			-31.334	153.09633
Bothidae			-31.75717	153.0105
Bothidae			-31.334	153.09633
Bothidae			-31.32183	153.02017
Bothidae			-31.334	153.09633
Bothidae			-31.32183	153.02017
Bothidae			-31.32183	153.02017
Bothidae			-30.9995	153.165
Bothidae			-30.9995	153.165
Bothidae			-31.00317	153.09467
Bothidae			-30.9995	153.165
Bothidae			-31.00317	153.09467
Bothidae			-30.56317	153.25567
Bothidae			-31.00317	153.09467
Bothidae			-30.9995	153.165
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-31.74367	152.89083
Bothidae			-31.74367	152.89083
Bothidae			-31.33233	153.09667
Bothidae			-31.32	153.021
Bothidae			-31.33233	153.09683
Bothidae			-31.32017	153.01867
Bothidae			-31.32183	153.02017
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-30.56317	153.25567
Bothidae			-31.74367	152.89083
Bothidae			-32.88333	152.19217
Bothidae			-32.88333	152.19217
Bothidae			-32.55	152.54617
Bothidae			-31.00317	153.09467
Bothidae			-31.75717	153.0105
Bothidae			-32.16833	152.7795
Bothidae			-32.16833	152.7795
Bothidae			-31.74367	152.89083
Bothidae			-31.334	153.09633
Bothidae			-31.74367	152.89083
Bothidae			-30.9995	153.165
Bothidae			-30.9995	153.165
Bothidae			-30.56317	153.25567
Bothidae			-31.74367	152.89083
Bothidae			-34.1165	151.2115
Bothidae			-34.1155	151.2085
Bothidae			-31.74367	152.89083
Bothidae			-31.74367	152.89083
Bothidae			-31.334	153.09633
Bothidae			-31.334	153.09633
Bothidae			-30.56317	153.25567
Bothidae			-32.88333	152.08633
Bothidae			-30.56317	153.25567
Bothidae			-32.55	152.4335
Bothidae			-32.55	152.4335
Bothidae			-31.87467	152.951
Bothidae			-31.84933	152.80617
Bothidae			-31.84933	152.80617
Bothidae			-30.9995	153.165
Bothidae			-32.16767	152.61467
Bothidae			-32.16767	152.61467
Bothidae			-38.5495	141.666
Bothidae			-30.56317	153.25567
Bothidae			-38.7142	143.063
Bothidae			-38.9345	147.163
